no,url,3rd_domain,http_method,referer,cookie,payload_body,encoding_form,leakage_method,pii_type,1st_domain
1,https://www.facebook.com/tr/?id=1611140815579103&ev=SubscribedButtonClick&dl=https%%3A%%2F%%2Fwww.acehardware.com%%2Fuser%%2Flogin%%3Fprevious%%3Dweb_page&rl=https%%3A%%2F%%2Fwww.acehardware.com%%2F&if=false&ts=1623721575695&cd[buttonFeatures]=%%7B%%22classList%%22%%3A%%22mz-button%%20login-actn%%20mz-animated-btn%%20show-loading-animation%%22%%2C%%22destination%%22%%3A%%22%%22%%2C%%22id%%22%%3A%%22%%22%%2C%%22imageUrl%%22%%3A%%22%%22%%2C%%22innerText%%22%%3A%%22Sign%%20In%%22%%2C%%22numChildButtons%%22%%3A0%%2C%%22tag%%22%%3A%%22button%%22%%2C%%22name%%22%%3A%%22%%22%%2C%%22value%%22%%3A%%22%%22%%7D&cd[buttonText]=Sign%%20In&cd[formFeatures]=%%5B%%5D&cd[pageFeatures]=%%7B%%22title%%22%%3A%%22Log%%20In%%20-%%20Ace%%20Hardware%%20%%22%%7D&cd[parameters]=%%5B%%5D&sw=1440&sh=900&udff[em]=e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c&v=2.9.41&r=stable&ec=2&o=2078&fbp=fb.1.1623721461992.326369195&it=1623721563091&coo=false&es=automatic&tm=3&rqm=GET,facebook.com,GET,https://www.acehardware.com/,fr=0sxDfNfklyE0ZFQhF..BgyAX2...1.0.BgyAX2.,null,sha256,uri,email,acehardware.com
2,https://ct.pinterest.com/user/?tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&cb=1623721581827,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSYxdWZaSHA1VHV3Ny91RmxKbUdRaEo4SzVhakRhU2R4Y3kvZlcwTktweGlkSldsT0tXSEZ4eUZITVpWZjN4S2pJNU5FSkphSGpwTW9ZZS9CYm5aT2dTZFR6UUhUMm5zUDQ2VEhTLytURllGVT0mMXhFTVBBK0tTRC9FVzlwdnlha2x4S2J5c0w4PQ==\""",null,sha256,uri,email,acehardware.com
3,https://ct.pinterest.com/v3/?tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&event=init&ad=%%7B%%22loc%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2F%%22%%2C%%22ref%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2Fuser%%2Flogin%%3Fprevious%%3Dweb_page%%22%%2C%%22if%%22%%3Afalse%%2C%%22sh%%22%%3A900%%2C%%22sw%%22%%3A1440%%2C%%22mh%%22%%3A%%22c6ca189a%%22%%2C%%22floc_enabled%%22%%3Afalse%%2C%%22ecm_enabled%%22%%3Atrue%%7D&cb=1623721581830,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSYxdWZaSHA1VHV3Ny91RmxKbUdRaEo4SzVhakRhU2R4Y3kvZlcwTktweGlkSldsT0tXSEZ4eUZITVpWZjN4S2pJNU5FSkphSGpwTW9ZZS9CYm5aT2dTZFR6UUhUMm5zUDQ2VEhTLytURllGVT0mMXhFTVBBK0tTRC9FVzlwdnlha2x4S2J5c0w4PQ==\""",null,sha256,uri,email,acehardware.com
4,https://ct.pinterest.com/v3/?event=pagevisit&ed=%%7B%%22np%%22%%3A%%22gtm%%22%%7D&tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&ad=%%7B%%22loc%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2F%%22%%2C%%22ref%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2Fuser%%2Flogin%%3Fprevious%%3Dweb_page%%22%%2C%%22if%%22%%3Afalse%%2C%%22sh%%22%%3A900%%2C%%22sw%%22%%3A1440%%2C%%22mh%%22%%3A%%22c6ca189a%%22%%2C%%22floc_enabled%%22%%3Afalse%%2C%%22ecm_enabled%%22%%3Atrue%%7D&cb=1623721581830,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSYxdWZaSHA1VHV3Ny91RmxKbUdRaEo4SzVhakRhU2R4Y3kvZlcwTktweGlkSldsT0tXSEZ4eUZITVpWZjN4S2pJNU5FSkphSGpwTW9ZZS9CYm5aT2dTZFR6UUhUMm5zUDQ2VEhTLytURllGVT0mMXhFTVBBK0tTRC9FVzlwdnlha2x4S2J5c0w4PQ==\""",null,sha256,uri,email,acehardware.com
5,https://ct.pinterest.com/user/?tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&cb=1623721750761,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSZob1ZBZTluL3p5Zzk3WXZzVUgzbk5aMXBEbTBjODY0T25NZno5ank1Y0hrck1CSTVpSGR1eExVOUwzamRpQ1l2NnFXZVg5TzVZNHhjdkErU3FYVWlxN3pZYW9kVXNHN0ZUNGt6K2JBUFQzcz0mU1dvRUhVRzVLN1ArSnF4emlCWitJSVkrK25RPQ==\""",null,sha256,uri,email,acehardware.com
6,https://ct.pinterest.com/v3/?event=pagevisit&ed=%%7B%%22np%%22%%3A%%22gtm%%22%%7D&tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&ad=%%7B%%22loc%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2Flocal-ad%%22%%2C%%22ref%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2F%%22%%2C%%22if%%22%%3Afalse%%2C%%22sh%%22%%3A900%%2C%%22sw%%22%%3A1440%%2C%%22mh%%22%%3A%%22c6ca189a%%22%%2C%%22floc_enabled%%22%%3Afalse%%2C%%22ecm_enabled%%22%%3Atrue%%7D&cb=1623721750768,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSZob1ZBZTluL3p5Zzk3WXZzVUgzbk5aMXBEbTBjODY0T25NZno5ank1Y0hrck1CSTVpSGR1eExVOUwzamRpQ1l2NnFXZVg5TzVZNHhjdkErU3FYVWlxN3pZYW9kVXNHN0ZUNGt6K2JBUFQzcz0mU1dvRUhVRzVLN1ArSnF4emlCWitJSVkrK25RPQ==\""",null,sha256,uri,email,acehardware.com
7,https://ct.pinterest.com/v3/?tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&event=init&ad=%%7B%%22loc%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2Flocal-ad%%22%%2C%%22ref%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2F%%22%%2C%%22if%%22%%3Afalse%%2C%%22sh%%22%%3A900%%2C%%22sw%%22%%3A1440%%2C%%22mh%%22%%3A%%22c6ca189a%%22%%2C%%22floc_enabled%%22%%3Afalse%%2C%%22ecm_enabled%%22%%3Atrue%%7D&cb=1623721750767,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSZob1ZBZTluL3p5Zzk3WXZzVUgzbk5aMXBEbTBjODY0T25NZno5ank1Y0hrck1CSTVpSGR1eExVOUwzamRpQ1l2NnFXZVg5TzVZNHhjdkErU3FYVWlxN3pZYW9kVXNHN0ZUNGt6K2JBUFQzcz0mU1dvRUhVRzVLN1ArSnF4emlCWitJSVkrK25RPQ==\""",null,sha256,uri,email,acehardware.com
8,https://ct.pinterest.com/user/?tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&cb=1623721753753,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSZab2o3NlJneXpPNTlEb3FBMGcrR2tocEpCNTBjbU9RQm9naXg0bCtHUGRhNWpYYXpxbHk2UkUrN1VhWm9pTmlEempBRHpmV1ppUTlLdncxUVkzZ1d0TzczL3I4VURnSWt5N05nSzBRYlM1dz0mMm1QL05kaHloRFdNUjVlc3JwY011ellBOURvPQ==\""",null,sha256,uri,email,acehardware.com
9,https://ct.pinterest.com/v3/?tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&event=init&ad=%%7B%%22loc%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2Flocal-ad%%22%%2C%%22ref%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2F%%22%%2C%%22if%%22%%3Afalse%%2C%%22sh%%22%%3A900%%2C%%22sw%%22%%3A1440%%2C%%22mh%%22%%3A%%22c6ca189a%%22%%2C%%22floc_enabled%%22%%3Afalse%%2C%%22ecm_enabled%%22%%3Atrue%%7D&cb=1623721753766,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSZab2o3NlJneXpPNTlEb3FBMGcrR2tocEpCNTBjbU9RQm9naXg0bCtHUGRhNWpYYXpxbHk2UkUrN1VhWm9pTmlEempBRHpmV1ppUTlLdncxUVkzZ1d0TzczL3I4VURnSWt5N05nSzBRYlM1dz0mMm1QL05kaHloRFdNUjVlc3JwY011ellBOURvPQ==\""",null,sha256,uri,email,acehardware.com
10,https://ct.pinterest.com/v3/?event=pagevisit&ed=%%7B%%22np%%22%%3A%%22gtm%%22%%7D&tid=2619740594697&pd=%%7B%%22np%%22%%3A%%22gtm%%22%%2C%%22em%%22%%3A%%22e3d9e36e642781bf195c9644ddd44fe4353ea49ca5030a9f3faecb79e933378c%%22%%2C%%22pin_unauth%%22%%3A%%22dWlkPVpHTTVPRFppTTJRdFkySTFOeTAwTmpVd0xXSTFaR0l0WkRFd09EQXhOekU0WWpWbQ%%22%%7D&ad=%%7B%%22loc%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2Flocal-ad%%22%%2C%%22ref%%22%%3A%%22https%%3A%%2F%%2Fwww.acehardware.com%%2F%%22%%2C%%22if%%22%%3Afalse%%2C%%22sh%%22%%3A900%%2C%%22sw%%22%%3A1440%%2C%%22mh%%22%%3A%%22c6ca189a%%22%%2C%%22floc_enabled%%22%%3Afalse%%2C%%22ecm_enabled%%22%%3Atrue%%7D&cb=1623721753766,pinterest.com,GET,https://www.acehardware.com/,"_pinterest_ct_ua=\""TWc9PSZab2o3NlJneXpPNTlEb3FBMGcrR2tocEpCNTBjbU9RQm9naXg0bCtHUGRhNWpYYXpxbHk2UkUrN1VhWm9pTmlEempBRHpmV1ppUTlLdncxUVkzZ1d0TzczL3I4VURnSWt5N05nSzBRYlM1dz0mMm1QL05kaHloRFdNUjVlc3JwY011ellBOURvPQ==\""",null,sha256,uri,email,acehardware.com
